[s],CH1[V]
5.7930E-04,2.821E-02
5.8338E-04,2.581E-02
5.8746E-04,2.661E-02
5.9154E-04,2.661E-02
5.9562E-04,2.501E-02
5.9970E-04,2.501E-02
6.0378E-04,2.341E-02
6.0786E-04,2.421E-02
6.1194E-04,2.501E-02
6.1602E-04,2.421E-02
6.2010E-04,2.341E-02
6.2418E-04,2.421E-02
6.2826E-04,2.421E-02
6.3234E-04,2.261E-02
6.3642E-04,2.341E-02
6.4050E-04,2.341E-02
6.4458E-04,2.421E-02
6.4866E-04,2.261E-02
6.5274E-04,2.261E-02
6.5682E-04,2.181E-02
6.6090E-04,2.421E-02
6.6498E-04,2.341E-02
6.6906E-04,2.501E-02
6.7314E-04,2.501E-02
6.7722E-04,2.501E-02
6.8130E-04,2.341E-02
6.8538E-04,2.421E-02
6.8946E-04,2.421E-02
6.9354E-04,2.501E-02
6.9762E-04,2.341E-02
7.0170E-04,2.341E-02
7.0578E-04,2.261E-02
7.0986E-04,2.261E-02
7.1394E-04,2.261E-02
7.1802E-04,2.101E-02
7.2210E-04,2.181E-02
7.2618E-04,2.021E-02
7.3026E-04,1.941E-02
7.3434E-04,1.941E-02
7.3842E-04,1.861E-02
7.4250E-04,2.101E-02
7.4658E-04,1.941E-02
7.5066E-04,1.941E-02
7.5474E-04,1.941E-02
7.5882E-04,2.021E-02
7.6290E-04,2.101E-02
7.6698E-04,1.861E-02
7.7106E-04,2.181E-02
7.7514E-04,2.101E-02
7.7922E-04,1.941E-02
7.8330E-04,1.861E-02
7.8738E-04,2.101E-02
7.9146E-04,2.181E-02
7.9554E-04,2.021E-02
7.9962E-04,1.861E-02
8.0370E-04,2.021E-02
8.0778E-04,1.941E-02
8.1186E-04,1.861E-02
8.1594E-04,1.861E-02
8.2002E-04,1.941E-02
8.2410E-04,1.781E-02
8.2818E-04,1.781E-02
8.3226E-04,1.861E-02
8.3634E-04,1.621E-02
8.4042E-04,1.621E-02
8.4450E-04,1.541E-02
8.4858E-04,1.541E-02
8.5266E-04,1.621E-02
8.5674E-04,1.701E-02
8.6082E-04,1.621E-02
8.6490E-04,1.541E-02
8.6898E-04,1.621E-02
8.7306E-04,1.301E-02
8.7714E-04,1.621E-02
8.8122E-04,1.461E-02
8.8530E-04,1.701E-02
8.8938E-04,1.541E-02
8.9346E-04,1.461E-02
8.9754E-04,1.461E-02
9.0162E-04,1.541E-02
9.0570E-04,1.461E-02
9.0978E-04,1.541E-02
9.1386E-04,1.541E-02
9.1794E-04,1.381E-02
9.2202E-04,1.541E-02
9.2610E-04,1.461E-02
9.3018E-04,1.461E-02
9.3426E-04,1.381E-02
9.3834E-04,1.541E-02
9.4242E-04,1.461E-02
9.4650E-04,1.461E-02
9.5058E-04,1.381E-02
9.5466E-04,1.141E-02
9.5874E-04,1.301E-02
9.6282E-04,1.301E-02
9.6690E-04,1.381E-02
9.7098E-04,1.301E-02
9.7506E-04,1.141E-02
9.7914E-04,1.301E-02
9.8322E-04,1.061E-02
9.8730E-04,1.061E-02
9.9138E-04,1.061E-02
9.9546E-04,1.061E-02
9.9954E-04,1.141E-02
1.0036E-03,9.812E-03
1.0077E-03,9.012E-03
1.0118E-03,9.012E-03
1.0159E-03,9.012E-03
1.0199E-03,9.012E-03
1.0240E-03,9.812E-03
1.0281E-03,9.012E-03
1.0322E-03,8.212E-03
1.0363E-03,8.212E-03
1.0403E-03,8.212E-03
1.0444E-03,7.412E-03
1.0485E-03,5.012E-03
1.0526E-03,7.412E-03
1.0567E-03,6.612E-03
1.0607E-03,5.812E-03
1.0648E-03,7.412E-03
1.0689E-03,5.012E-03
1.0730E-03,3.412E-03
1.0771E-03,5.812E-03
1.0811E-03,5.012E-03
1.0852E-03,5.812E-03
1.0893E-03,2.612E-03
1.0934E-03,2.612E-03
1.0975E-03,2.612E-03
1.1015E-03,1.012E-03
1.1056E-03,4.212E-03
1.1097E-03,1.812E-03
1.1138E-03,1.012E-03
1.1179E-03,2.612E-03
1.1219E-03,-1.388E-03
1.1260E-03,1.812E-03
1.1301E-03,2.119E-04
1.1342E-03,2.119E-04
1.1383E-03,-5.881E-04
1.1423E-03,-5.881E-04
1.1464E-03,-1.388E-03
1.1505E-03,-1.388E-03
1.1546E-03,-1.388E-03
1.1587E-03,-2.988E-03
1.1627E-03,-2.988E-03
1.1668E-03,-2.988E-03
1.1709E-03,-3.788E-03
1.1750E-03,-2.988E-03
1.1791E-03,-4.588E-03
1.1831E-03,-5.388E-03
1.1872E-03,-5.388E-03
1.1913E-03,-5.388E-03
1.1954E-03,-7.788E-03
1.1995E-03,-7.788E-03
1.2035E-03,-6.988E-03
1.2076E-03,-5.388E-03
1.2117E-03,-8.588E-03
1.2158E-03,-7.788E-03
1.2199E-03,-8.588E-03
1.2239E-03,-1.019E-02
1.2280E-03,-1.099E-02
1.2321E-03,-1.179E-02
1.2362E-03,-9.388E-03
1.2403E-03,-1.259E-02
1.2443E-03,-1.259E-02
1.2484E-03,-1.339E-02
1.2525E-03,-1.259E-02
1.2566E-03,-1.499E-02
1.2607E-03,-1.419E-02
1.2647E-03,-1.499E-02
1.2688E-03,-1.499E-02
1.2729E-03,-1.659E-02
1.2770E-03,-1.659E-02
1.2811E-03,-1.579E-02
1.2851E-03,-1.579E-02
1.2892E-03,-1.739E-02
1.2933E-03,-1.819E-02
1.2974E-03,-1.819E-02
1.3015E-03,-1.659E-02
1.3055E-03,-1.819E-02
1.3096E-03,-1.819E-02
1.3137E-03,-1.899E-02
1.3178E-03,-1.899E-02
1.3219E-03,-2.059E-02
1.3259E-03,-1.899E-02
1.3300E-03,-1.819E-02
1.3341E-03,-1.819E-02
1.3382E-03,-2.059E-02
1.3423E-03,-2.059E-02
1.3463E-03,-2.059E-02
1.3504E-03,-2.059E-02
1.3545E-03,-2.059E-02
1.3586E-03,-1.899E-02
1.3627E-03,-2.059E-02
1.3667E-03,-2.139E-02
1.3708E-03,-2.059E-02
1.3749E-03,-2.219E-02
1.3790E-03,-2.139E-02
1.3831E-03,-2.219E-02
1.3871E-03,-2.299E-02
1.3912E-03,-2.139E-02
1.3953E-03,-2.379E-02
1.3994E-03,-2.299E-02
1.4035E-03,-2.139E-02
1.4075E-03,-2.059E-02
1.4116E-03,-2.299E-02
1.4157E-03,-2.219E-02
1.4198E-03,-2.299E-02
1.4239E-03,-2.299E-02
1.4279E-03,-2.379E-02
1.4320E-03,-2.459E-02
1.4361E-03,-2.299E-02
1.4402E-03,-2.299E-02
1.4443E-03,-2.379E-02
1.4483E-03,-2.379E-02
1.4524E-03,-2.539E-02
1.4565E-03,-2.459E-02
1.4606E-03,-2.619E-02
1.4647E-03,-2.459E-02
1.4687E-03,-2.619E-02
1.4728E-03,-2.299E-02
1.4769E-03,-2.379E-02
1.4810E-03,-2.539E-02
1.4851E-03,-2.539E-02
1.4891E-03,-2.699E-02
1.4932E-03,-2.459E-02
1.4973E-03,-2.619E-02
1.5014E-03,-2.779E-02
1.5055E-03,-2.699E-02
1.5095E-03,-2.619E-02
1.5136E-03,-2.379E-02
1.5177E-03,-2.699E-02
1.5218E-03,-2.619E-02
1.5259E-03,-2.459E-02
1.5299E-03,-2.539E-02
1.5340E-03,-2.699E-02
1.5381E-03,-2.619E-02
1.5422E-03,-2.699E-02
1.5463E-03,-2.779E-02
1.5503E-03,-2.699E-02
1.5544E-03,-2.699E-02
1.5585E-03,-2.699E-02
