[s],CH1[V]
-1.0420E-02,2.120E+00
-1.0416E-02,2.120E+00
-1.0412E-02,2.040E+00
-1.0408E-02,2.040E+00
-1.0404E-02,2.360E+00
-1.0400E-02,2.200E+00
-1.0396E-02,2.200E+00
-1.0392E-02,2.120E+00
-1.0388E-02,2.200E+00
-1.0384E-02,2.360E+00
-1.0380E-02,2.360E+00
-1.0375E-02,2.600E+00
-1.0371E-02,2.440E+00
-1.0367E-02,2.840E+00
-1.0363E-02,2.280E+00
-1.0359E-02,2.120E+00
-1.0355E-02,2.520E+00
-1.0351E-02,2.600E+00
-1.0347E-02,2.200E+00
-1.0343E-02,2.440E+00
-1.0339E-02,2.680E+00
-1.0335E-02,2.600E+00
-1.0331E-02,3.000E+00
-1.0326E-02,2.840E+00
-1.0322E-02,2.760E+00
-1.0318E-02,3.080E+00
-1.0314E-02,2.680E+00
-1.0310E-02,2.920E+00
-1.0306E-02,3.080E+00
-1.0302E-02,2.920E+00
-1.0298E-02,2.920E+00
-1.0294E-02,3.000E+00
-1.0290E-02,2.920E+00
-1.0286E-02,2.920E+00
-1.0282E-02,2.920E+00
-1.0278E-02,3.160E+00
-1.0273E-02,3.080E+00
-1.0269E-02,3.160E+00
-1.0265E-02,3.080E+00
-1.0261E-02,3.160E+00
-1.0257E-02,3.000E+00
-1.0253E-02,3.080E+00
-1.0249E-02,3.160E+00
-1.0245E-02,3.080E+00
-1.0241E-02,3.080E+00
-1.0237E-02,3.000E+00
-1.0233E-02,3.080E+00
-1.0229E-02,3.160E+00
-1.0224E-02,3.240E+00
-1.0220E-02,3.160E+00
-1.0216E-02,3.160E+00
-1.0212E-02,3.320E+00
-1.0208E-02,3.240E+00
-1.0204E-02,3.240E+00
-1.0200E-02,3.320E+00
-1.0196E-02,3.240E+00
-1.0192E-02,3.320E+00
-1.0188E-02,3.400E+00
-1.0184E-02,3.400E+00
-1.0180E-02,3.320E+00
-1.0176E-02,3.400E+00
-1.0171E-02,3.400E+00
-1.0167E-02,3.400E+00
-1.0163E-02,3.400E+00
-1.0159E-02,3.400E+00
-1.0155E-02,3.400E+00
-1.0151E-02,3.400E+00
-1.0147E-02,3.480E+00
-1.0143E-02,3.480E+00
-1.0139E-02,3.480E+00
-1.0135E-02,3.400E+00
-1.0131E-02,3.480E+00
-1.0127E-02,3.480E+00
-1.0122E-02,3.400E+00
-1.0118E-02,3.480E+00
-1.0114E-02,3.480E+00
-1.0110E-02,3.400E+00
-1.0106E-02,3.480E+00
-1.0102E-02,3.480E+00
-1.0098E-02,3.400E+00
-1.0094E-02,3.480E+00
-1.0090E-02,3.400E+00
-1.0086E-02,3.480E+00
-1.0082E-02,3.480E+00
-1.0078E-02,3.480E+00
-1.0074E-02,3.480E+00
-1.0069E-02,3.400E+00
-1.0065E-02,3.480E+00
-1.0061E-02,3.480E+00
-1.0057E-02,3.480E+00
-1.0053E-02,3.480E+00
-1.0049E-02,3.480E+00
-1.0045E-02,3.480E+00
-1.0041E-02,3.480E+00
-1.0037E-02,3.480E+00
-1.0033E-02,3.480E+00
-1.0029E-02,3.480E+00
-1.0025E-02,3.480E+00
-1.0020E-02,3.480E+00
-1.0016E-02,3.480E+00
-1.0012E-02,3.480E+00
-1.0008E-02,3.480E+00
-1.0004E-02,3.400E+00
-1.0000E-02,3.400E+00
-9.9960E-03,3.480E+00
-9.9919E-03,3.400E+00
-9.9878E-03,3.400E+00
-9.9838E-03,3.400E+00
-9.9797E-03,3.400E+00
-9.9756E-03,3.400E+00
-9.9715E-03,3.400E+00
-9.9674E-03,3.320E+00
-9.9634E-03,3.400E+00
-9.9593E-03,3.320E+00
-9.9552E-03,3.320E+00
-9.9511E-03,3.240E+00
-9.9470E-03,3.240E+00
-9.9430E-03,3.240E+00
-9.9389E-03,3.080E+00
-9.9348E-03,3.240E+00
-9.9307E-03,3.160E+00
-9.9266E-03,3.080E+00
-9.9226E-03,3.080E+00
-9.9185E-03,3.000E+00
-9.9144E-03,3.080E+00
-9.9103E-03,3.160E+00
-9.9062E-03,3.080E+00
-9.9022E-03,3.000E+00
-9.8981E-03,3.000E+00
-9.8940E-03,3.080E+00
-9.8899E-03,2.760E+00
-9.8858E-03,3.000E+00
-9.8818E-03,2.920E+00
-9.8777E-03,2.840E+00
-9.8736E-03,2.600E+00
-9.8695E-03,2.520E+00
-9.8654E-03,2.920E+00
-9.8614E-03,2.840E+00
-9.8573E-03,3.080E+00
-9.8532E-03,2.600E+00
-9.8491E-03,2.600E+00
-9.8450E-03,2.440E+00
-9.8410E-03,2.600E+00
-9.8369E-03,2.600E+00
-9.8328E-03,2.600E+00
-9.8287E-03,2.600E+00
-9.8246E-03,2.600E+00
-9.8206E-03,2.840E+00
-9.8165E-03,2.360E+00
-9.8124E-03,2.520E+00
-9.8083E-03,2.440E+00
-9.8042E-03,2.200E+00
-9.8002E-03,2.280E+00
-9.7961E-03,2.040E+00
-9.7920E-03,1.720E+00
-9.7879E-03,2.200E+00
-9.7838E-03,2.200E+00
-9.7798E-03,2.280E+00
-9.7757E-03,2.280E+00
-9.7716E-03,1.800E+00
-9.7675E-03,1.960E+00
-9.7634E-03,1.960E+00
-9.7594E-03,1.800E+00
-9.7553E-03,2.200E+00
-9.7512E-03,1.720E+00
-9.7471E-03,1.720E+00
-9.7430E-03,1.880E+00
-9.7390E-03,1.720E+00
-9.7349E-03,2.120E+00
-9.7308E-03,1.880E+00
-9.7267E-03,1.720E+00
-9.7226E-03,1.480E+00
-9.7186E-03,1.480E+00
-9.7145E-03,1.400E+00
-9.7104E-03,1.240E+00
-9.7063E-03,1.880E+00
-9.7022E-03,1.560E+00
-9.6982E-03,1.400E+00
-9.6941E-03,1.400E+00
-9.6900E-03,1.160E+00
-9.6859E-03,1.320E+00
-9.6818E-03,1.240E+00
-9.6778E-03,1.080E+00
-9.6737E-03,1.240E+00
-9.6696E-03,1.080E+00
-9.6655E-03,1.000E+00
-9.6614E-03,1.240E+00
-9.6574E-03,1.160E+00
-9.6533E-03,1.000E+00
-9.6492E-03,1.000E+00
-9.6451E-03,1.000E+00
-9.6410E-03,1.000E+00
-9.6370E-03,1.000E+00
-9.6329E-03,4.400E-01
-9.6288E-03,3.600E-01
-9.6247E-03,6.000E-01
-9.6206E-03,5.200E-01
-9.6166E-03,8.400E-01
-9.6125E-03,4.000E-02
-9.6084E-03,3.600E-01
-9.6043E-03,4.400E-01
-9.6002E-03,4.000E-02
-9.5962E-03,3.600E-01
-9.5921E-03,2.000E-01
-9.5880E-03,2.000E-01
-9.5839E-03,2.000E-01
-9.5798E-03,1.200E-01
-9.5758E-03,1.200E-01
-9.5717E-03,-2.800E-01
-9.5676E-03,4.000E-02
-9.5635E-03,-5.200E-01
-9.5594E-03,1.200E-01
-9.5554E-03,-2.800E-01
-9.5513E-03,-2.000E-01
-9.5472E-03,-2.800E-01
-9.5431E-03,-5.200E-01
-9.5390E-03,-4.400E-01
-9.5350E-03,-2.800E-01
-9.5309E-03,-5.200E-01
-9.5268E-03,-3.600E-01
-9.5227E-03,-4.400E-01
-9.5186E-03,-7.600E-01
-9.5146E-03,-6.000E-01
-9.5105E-03,-3.600E-01
-9.5064E-03,-9.200E-01
-9.5023E-03,-8.400E-01
-9.4982E-03,-1.080E+00
-9.4942E-03,-1.080E+00
-9.4901E-03,-1.080E+00
-9.4860E-03,-1.080E+00
-9.4819E-03,-1.080E+00
-9.4778E-03,-1.080E+00
-9.4738E-03,-1.160E+00
-9.4697E-03,-1.160E+00
-9.4656E-03,-1.480E+00
-9.4615E-03,-1.000E+00
-9.4574E-03,-1.240E+00
-9.4534E-03,-1.160E+00
-9.4493E-03,-1.240E+00
-9.4452E-03,-1.640E+00
-9.4411E-03,-1.320E+00
-9.4370E-03,-1.480E+00
-9.4330E-03,-1.480E+00
-9.4289E-03,-1.720E+00
-9.4248E-03,-1.640E+00
-9.4207E-03,-1.720E+00
-9.4166E-03,-1.960E+00
-9.4126E-03,-1.480E+00
-9.4085E-03,-1.880E+00
-9.4044E-03,-2.040E+00
-9.4003E-03,-1.880E+00
-9.3962E-03,-1.640E+00
-9.3922E-03,-2.040E+00
-9.3881E-03,-1.880E+00
-9.3840E-03,-1.960E+00
-9.3799E-03,-2.040E+00
-9.3758E-03,-1.880E+00
-9.3718E-03,-2.280E+00
-9.3677E-03,-2.280E+00
-9.3636E-03,-2.120E+00
-9.3595E-03,-2.200E+00
-9.3554E-03,-2.200E+00
-9.3514E-03,-2.200E+00
-9.3473E-03,-2.280E+00
-9.3432E-03,-2.440E+00
-9.3391E-03,-2.520E+00
-9.3350E-03,-2.520E+00
-9.3310E-03,-2.440E+00
-9.3269E-03,-2.600E+00
-9.3228E-03,-2.680E+00
-9.3187E-03,-2.520E+00
-9.3146E-03,-2.840E+00
-9.3106E-03,-2.520E+00
-9.3065E-03,-2.760E+00
-9.3024E-03,-2.600E+00
-9.2983E-03,-2.840E+00
-9.2942E-03,-2.920E+00
-9.2902E-03,-2.840E+00
-9.2861E-03,-3.000E+00
-9.2820E-03,-2.840E+00
-9.2779E-03,-2.680E+00
-9.2738E-03,-2.920E+00
-9.2698E-03,-3.080E+00
-9.2657E-03,-3.000E+00
-9.2616E-03,-2.920E+00
-9.2575E-03,-2.920E+00
-9.2534E-03,-3.160E+00
-9.2494E-03,-3.160E+00
-9.2453E-03,-3.160E+00
-9.2412E-03,-3.240E+00
-9.2371E-03,-3.240E+00
-9.2330E-03,-3.240E+00
-9.2290E-03,-3.320E+00
-9.2249E-03,-3.320E+00
-9.2208E-03,-3.240E+00
-9.2167E-03,-3.320E+00
-9.2126E-03,-3.480E+00
-9.2086E-03,-3.400E+00
-9.2045E-03,-3.400E+00
-9.2004E-03,-3.480E+00
-9.1963E-03,-3.480E+00
-9.1922E-03,-3.480E+00
-9.1882E-03,-3.480E+00
-9.1841E-03,-3.560E+00
-9.1800E-03,-3.480E+00
-9.1759E-03,-3.560E+00
-9.1718E-03,-3.560E+00
-9.1678E-03,-3.560E+00
-9.1637E-03,-3.560E+00
-9.1596E-03,-3.560E+00
-9.1555E-03,-3.560E+00
-9.1514E-03,-3.640E+00
-9.1474E-03,-3.560E+00
-9.1433E-03,-3.560E+00
-9.1392E-03,-3.560E+00
-9.1351E-03,-3.560E+00
-9.1310E-03,-3.560E+00
-9.1270E-03,-3.640E+00
-9.1229E-03,-3.640E+00
-9.1188E-03,-3.640E+00
-9.1147E-03,-3.640E+00
-9.1106E-03,-3.560E+00
-9.1066E-03,-3.560E+00
-9.1025E-03,-3.560E+00
-9.0984E-03,-3.560E+00
-9.0943E-03,-3.640E+00
-9.0902E-03,-3.640E+00
-9.0862E-03,-3.560E+00
-9.0821E-03,-3.640E+00
-9.0780E-03,-3.640E+00
-9.0739E-03,-3.640E+00
